number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_l2_reg,params_learning_rate,params_neurons,state
0,0.8104510307312012,2025-06-04 22:06:57.164224,2025-06-04 22:09:01.384081,0 days 00:02:04.219857,0.20202817856374053,0.0033883904326975052,0.0022872594557364397,130,COMPLETE
1,0.8080130815505981,2025-06-04 22:09:01.384081,2025-06-04 22:11:40.993343,0 days 00:02:39.609262,0.4799064190098009,0.001676502635140234,0.0018811844251573526,298,COMPLETE
2,0.8205429911613464,2025-06-04 22:11:40.993343,2025-06-04 22:14:55.494320,0 days 00:03:14.500977,0.29927492926197885,0.00017429807267258106,0.0025920424457432666,199,COMPLETE
3,0.8405126929283142,2025-06-04 22:14:55.494320,2025-06-04 22:32:51.415597,0 days 00:17:55.921277,0.2769710057090024,0.007711732303511427,0.00012815711157556376,478,COMPLETE
4,0.8490262627601624,2025-06-04 22:32:51.416605,2025-06-04 22:56:09.822960,0 days 00:23:18.406355,0.3904981443140438,0.004713168405732197,6.201128846358521e-05,301,COMPLETE
5,0.8398241996765137,2025-06-04 22:56:09.822960,2025-06-04 23:11:56.501096,0 days 00:15:46.678136,0.28081085847001935,0.003551484450402912,0.0001766363637993783,464,COMPLETE
6,0.8292916417121887,2025-06-04 23:11:56.501096,2025-06-04 23:19:39.081724,0 days 00:07:42.580628,0.3480815527014202,0.0024409369816865384,0.00038193026230590643,97,COMPLETE
7,0.8452622294425964,2025-06-04 23:19:39.082734,2025-06-04 23:36:26.424940,0 days 00:16:47.342206,0.3808721868584922,0.009712848064152558,1.0752142592095793e-05,112,COMPLETE
8,0.8426342606544495,2025-06-04 23:36:26.425947,2025-06-04 23:55:38.506306,0 days 00:19:12.080359,0.3496915286104215,0.000228031693916107,0.0004984030686072512,338,COMPLETE
9,0.836618185043335,2025-06-04 23:55:38.506306,2025-06-05 00:22:22.596265,0 days 00:26:44.089959,0.4676024370928474,0.007803139600366913,9.955492980906448e-05,400,COMPLETE
10,0.8510622382164001,2025-06-05 00:22:22.596265,2025-06-05 00:37:58.024971,0 days 00:15:35.428706,0.41285781953717243,0.0005920802515936707,1.801059617179186e-05,213,COMPLETE
11,0.8534668684005737,2025-06-05 00:37:58.024971,2025-06-05 00:53:54.498437,0 days 00:15:56.473466,0.4169223413462647,0.0005659026314094809,2.1814169521886334e-05,222,COMPLETE
12,0.842287540435791,2025-06-05 00:53:54.499441,2025-06-05 01:09:15.849425,0 days 00:15:21.349984,0.4309606651208803,0.0005548534833288203,1.1157753711002637e-05,208,COMPLETE
13,0.8538006544113159,2025-06-05 01:09:15.849425,2025-06-05 01:28:37.173772,0 days 00:19:21.324347,0.42495722179945505,0.000605956710306454,2.765890133854951e-05,210,COMPLETE
14,0.8495170474052429,2025-06-05 01:28:37.174774,2025-06-05 01:45:50.937570,0 days 00:17:13.762796,0.4994605851470194,0.0003925452659098414,3.528478652372805e-05,183,COMPLETE
15,0.8557784557342529,2025-06-05 01:45:50.938576,2025-06-05 02:15:10.838013,0 days 00:29:19.899437,0.4464196225015681,0.0011230272062855544,3.8966954282835484e-05,242,COMPLETE
16,0.8565075397491455,2025-06-05 02:15:10.838013,2025-06-05 02:37:55.175843,0 days 00:22:44.337830,0.4464347077799101,0.0011252204951268168,4.9066760224834724e-05,372,COMPLETE
17,0.8202162384986877,2025-06-05 02:37:55.175843,2025-06-05 02:48:08.994457,0 days 00:10:13.818614,0.4593445851991088,0.0012274784630144147,0.0008316403405798332,373,COMPLETE
18,0.5,2025-06-05 02:48:08.994457,2025-06-05 02:54:25.731908,0 days 00:06:16.737451,0.4573793901694534,0.0010415483750685394,0.0067011130152999,396,COMPLETE
19,0.8615541458129883,2025-06-05 02:54:25.732909,2025-06-05 03:20:56.146614,0 days 00:26:30.413705,0.3199181078714016,0.0019128226007127803,4.9173945836166257e-05,437,COMPLETE
20,0.8556621670722961,2025-06-05 03:20:56.146614,2025-06-05 03:54:22.996315,0 days 00:33:26.849701,0.324089570664749,0.0018569368062502979,6.72547808473097e-05,502,COMPLETE
21,0.8747641444206238,2025-06-05 03:54:22.996315,2025-06-05 04:25:06.016073,0 days 00:30:43.019758,0.23061627323664957,0.00010054431403125451,4.6974576632910855e-05,421,COMPLETE
