Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Endometrial cancer,4/58,1.3194101796692674e-08,1.781203742553511e-06,0,0,246.12345679012347,4465.53993920674,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Colorectal cancer,4/86,6.55974325782862e-08,4.427826699034318e-06,0,0,161.85365853658536,2677.0156950575056,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Breast cancer,4/147,5.683865555237854e-07,2.025004089293643e-05,0,0,92.52680652680652,1330.5784190095942,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Gastric cancer,4/149,6.000012116425609e-07,2.025004089293643e-05,0,0,91.24137931034484,1307.1544894317235,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Hepatocellular carcinoma,4/168,9.697589892121915e-07,2.618349270872917e-05,0,0,80.59349593495935,1115.9151351365863,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,4.841001830223267e-06,7.61803254517677e-05,0,0,127.43923240938166,1559.650883385183,PIK3CA;KRAS;TP53
KEGG_2021_Human,Melanoma,3/72,5.271571489605828e-06,7.61803254517677e-05,0,0,123.73291925465838,1503.7486925982037,PIK3CA;KRAS;TP53
KEGG_2021_Human,Non-small cell lung cancer,3/72,5.271571489605828e-06,7.61803254517677e-05,0,0,123.73291925465838,1503.7486925982037,PIK3CA;KRAS;TP53
KEGG_2021_Human,Glioma,3/75,5.96382690300615e-06,7.61803254517677e-05,0,0,118.5595238095238,1426.2471443529512,PIK3CA;KRAS;TP53
KEGG_2021_Human,Chronic myeloid leukemia,3/76,6.2072857775514416e-06,7.61803254517677e-05,0,0,116.92954990215264,1401.9603775039,PIK3CA;KRAS;TP53
KEGG_2021_Human,Pancreatic cancer,3/76,6.2072857775514416e-06,7.61803254517677e-05,0,0,116.92954990215264,1401.9603775039,PIK3CA;KRAS;TP53
KEGG_2021_Human,MicroRNAs in cancer,4/310,1.1044652122099804e-05,0.0001242523363736228,0,0,42.88453159041394,489.46535526616367,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Prostate cancer,3/97,1.294690780331064e-05,0.00013444865795745665,0,0,90.7112462006079,1020.9236516163533,PIK3CA;KRAS;TP53
KEGG_2021_Human,Human papillomavirus infection,4/331,1.4300264984768664e-05,0.00013551670346911518,0,0,40.08766564729868,447.1872302957118,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Longevity regulating pathway,3/102,1.5057411496568352e-05,0.00013551670346911518,0,0,86.10822510822511,956.11475242349,PIK3CA;KRAS;TP53
KEGG_2021_Human,Sphingolipid signaling pathway,3/119,2.3905752658204e-05,0.00018846642137570528,0,0,73.42610837438424,781.3559604663873,PIK3CA;KRAS;TP53
KEGG_2021_Human,Neurotrophin signaling pathway,3/119,2.3905752658204e-05,0.00018846642137570528,0,0,73.42610837438424,781.3559604663873,PIK3CA;KRAS;TP53
KEGG_2021_Human,Thyroid hormone signaling pathway,3/121,2.512885618342737e-05,0.00018846642137570528,0,0,72.17433414043583,764.4340070407663,PIK3CA;KRAS;TP53
KEGG_2021_Human,Apoptosis,3/142,4.054105659077452e-05,0.0002794425491557999,0,0,61.205549845837616,618.983682361981,PIK3CA;KRAS;TP53
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,3/143,4.139889617122962e-05,0.0002794425491557999,0,0,60.765306122448976,613.2590459674897,APC;PIK3CA;KRAS
KEGG_2021_Human,Cellular senescence,3/156,5.3658192727452e-05,0.0003355920863568407,0,0,55.56582633053221,546.3719020165803,PIK3CA;KRAS;TP53
KEGG_2021_Human,Hepatitis C,3/157,5.468908073963329e-05,0.0003355920863568407,0,0,55.20222634508349,541.7461752188425,PIK3CA;KRAS;TP53
KEGG_2021_Human,Hepatitis B,3/162,6.003904210227032e-05,0.000352403073208978,0,0,53.45283018867924,519.5890646700522,PIK3CA;KRAS;TP53
KEGG_2021_Human,Pathways in cancer,4/531,9.083723327470168e-05,0.0005109594371701969,0,0,24.62112586970272,229.1350626048487,APC;PIK3CA;KRAS;TP53
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,3/193,0.0001009992037425212,0.0005453957002096146,0,0,44.661654135338345,410.904990028989,PIK3CA;KRAS;TP53
KEGG_2021_Human,Viral carcinogenesis,3/203,0.00011730722395270342,0.0006038128873369901,0,0,42.40714285714286,383.8149308411945,PIK3CA;KRAS;TP53
KEGG_2021_Human,Proteoglycans in cancer,3/205,0.00012076257746739804,0.0006038128873369901,0,0,41.98302687411599,378.75760642460426,PIK3CA;KRAS;TP53
KEGG_2021_Human,Lipid and atherosclerosis,3/215,0.00013903977120547357,0.0006263129326133381,0,0,39.982479784366575,355.0744290146698,PIK3CA;KRAS;TP53
KEGG_2021_Human,Regulation of actin cytoskeleton,3/218,0.00014485503677424838,0.0006263129326133381,0,0,39.41860465116279,348.4516772117084,APC;PIK3CA;KRAS
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,3/219,0.00014682818496094348,0.0006263129326133381,0,0,39.23412698412698,346.2901138181077,PIK3CA;KRAS;TP53
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,2/37,0.0001484593618046431,0.0006263129326133381,0,0,142.53571428571428,1256.4807280914272,PIK3CA;KRAS
KEGG_2021_Human,Thyroid cancer,2/37,0.0001484593618046431,0.0006263129326133381,0,0,142.53571428571428,1256.4807280914272,KRAS;TP53
KEGG_2021_Human,Human cytomegalovirus infection,3/225,0.00015903665127190174,0.0006506044824759617,0,0,38.16216216216216,333.78061432656835,PIK3CA;KRAS;TP53
KEGG_2021_Human,Bladder cancer,2/41,0.0001825931686229406,0.0007250022871793231,0,0,127.89102564102564,1100.9179217565816,KRAS;TP53
KEGG_2021_Human,VEGF signaling pathway,2/59,0.00037917320411508265,0.0014625252158724,0,0,87.42543859649123,688.6954184966403,PIK3CA;KRAS
KEGG_2021_Human,Basal cell carcinoma,2/63,0.0004323414002614042,0.0016212802509802,0,0,81.67622950819673,632.6881685393935,APC;TP53
KEGG_2021_Human,GnRH secretion,2/64,0.00044616894757922194,0.0016279137276539,0,0,80.35483870967742,619.9225439600442,PIK3CA;KRAS
KEGG_2021_Human,Acute myeloid leukemia,2/67,0.0004889339976743091,0.001699703675148,0,0,76.63461538461539,584.2073646335838,PIK3CA;KRAS
KEGG_2021_Human,Fc epsilon RI signaling pathway,2/68,0.0005036159037475685,0.001699703675148,0,0,75.46969696969697,573.09398703068,PIK3CA;KRAS
KEGG_2021_Human,Mitophagy,2/68,0.0005036159037475685,0.001699703675148,0,0,75.46969696969697,573.09398703068,KRAS;TP53
KEGG_2021_Human,Renal cell carcinoma,2/69,0.0005185109646488796,0.0017072922006731,0,0,74.33955223880596,562.3452140692101,PIK3CA;KRAS
KEGG_2021_Human,Prolactin signaling pathway,2/70,0.0005336190066674734,0.0017152039500025,0,0,73.24264705882354,551.9440230421153,PIK3CA;KRAS
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.0006015648820842463,0.0018886339321249,0,0,23.97924297924298,177.8294942983491,PIK3CA;KRAS;TP53
KEGG_2021_Human,Alzheimer disease,3/369,0.0006788569943312294,0.0020828566871526,0,0,22.97892271662764,167.63354059830715,APC;PIK3CA;KRAS
KEGG_2021_Human,B cell receptor signaling pathway,2/81,0.0007138146207120215,0.002141443862136,0,0,63.00949367088607,456.4966782194373,PIK3CA;KRAS
KEGG_2021_Human,ErbB signaling pathway,2/85,0.0007856794992100311,0.0023057985302903,0,0,59.96084337349398,428.6577674110207,PIK3CA;KRAS
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.000860907796340742,0.0024728202660851,0,0,57.19252873563219,403.6375954618875,PIK3CA;KRAS
KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.0008802391137269697,0.0024756725073571,0,0,56.53977272727273,397.7752223930347,RYR2;TTN
KEGG_2021_Human,Small cell lung cancer,2/92,0.0009195296371531132,0.0025333979799116,0,0,55.27777777777778,386.4827800673363,PIK3CA;TP53
KEGG_2021_Human,Dilated cardiomyopathy,2/96,0.0010006174330829,0.002701667069324,0,0,52.91489361702128,365.49047439590856,RYR2;TTN
KEGG_2021_Human,Choline metabolism in cancer,2/98,0.0010424119627603,0.0027593257837775,0,0,51.80729166666666,355.7201614766498,PIK3CA;KRAS
