orig,shap
revel.score,0.2243926935688939
alphamissense.am_pathogenicity,0.22329740388098152
cadd.phred,0.1273538233753245
gerp.gerp_rs,0.12552003288030977
sift.score,0.11850263436968517
so_frameshift_truncation,0.0877387732926693
sbs40c,0.0731439274382397
so_missense_variant,0.07177224902024018
sbs9,0.06778478458290133
sift.prediction_Tolerated,0.06674344034803262
sift.prediction_Damaging,0.06416258320125894
sbs95,0.05962395856212173
sift.prediction_nan,0.054105816178246356
cancer_type_COAD,0.052628326527408544
af,0.050387508325137935
sbs20,0.04622239240027239
sbs10a,0.03983982210255675
sbs41,0.039733032697185595
sbs10b,0.039471794622177814
dp,0.039018205552590744
