Gene	Mutations	Coverage	p-value	q-value	Rank
KRAS	15630	4126	0.000100000	0.053746341	1
EGFR	2297	4459	0.000100000	0.053746341	1
TP53	2277	3860	0.000100000	0.053746341	1
IDH1	1079	4294	0.000185308	0.053746341	4
TTN	984	4130	0.000246757	0.053746341	5
MUC16	697	4095	0.000283656	0.053746341	6
RYR2	520	4044	0.000385861	0.053746341	7
CSMD3	633	4724	0.000388025	0.053746341	8
USH2A	413	3466	0.000470348	0.053746341	9
BRAF	457	4638	0.000471236	0.053746341	10
LRP1B	410	4238	0.000474530	0.053746341	11
MUC2	424	3121	0.000491075	0.053746341	12
PTEN	383	3330	0.000514916	0.053746341	13
ZFHX4	377	4482	0.000571060	0.053746341	14
CDH9	343	4396	0.000623549	0.053746341	15
FLG	363	3087	0.000636429	0.053746341	16
PIK3C2B	317	4123	0.000666795	0.053746341	17
CSMD1	196	4082	0.000681230	0.053746341	18
UGT2A1	288	3130	0.000696281	0.053746341	19
CACNA1E	274	4685	0.000696579	0.053746341	20
MAPRE3	291	4687	0.000731688	0.053746341	21
MUC17	253	3343	0.000789375	0.053746341	22
LRP2	298	3871	0.000797725	0.053746341	23
LRP1	247	4515	0.000801082	0.053746341	24
ANK2	253	3769	0.000810253	0.053746341	25
FAT3	229	3955	0.000813596	0.053746341	26
KIAA1210	240	3805	0.000832517	0.053746341	27
PAPPA2	239	4215	0.000866370	0.053746341	28
SPTA1	273	4332	0.000875275	0.053746341	29
ABCA13	201	4584	0.000899788	0.053746341	30
TAF1L	185	3699	0.000901420	0.053746341	31
AHNAK2	226	3276	0.000906496	0.053746341	32
CNTNAP2	225	3459	0.000930981	0.053746341	33
NRXN2	226	4184	0.000934597	0.053746341	34
HMCN1	206	3252	0.000947700	0.053746341	35
XIRP2	245	4437	0.000970184	0.053746341	36
PIK3CA	239	3385	0.000974637	0.053746341	37
MAGEC3	211	4337	0.000990078	0.053746341	38
NLRP3	206	3021	0.000995323	0.053746341	39
DNAH3	180	3562	0.000998979	0.053746341	40
ZNF536	183	3189	0.001024314	0.053746341	41
MYH1	158	3241	0.001032602	0.053746341	42
APOB	204	3747	0.001039600	0.053746341	43
PEG3	187	4499	0.001064244	0.053746341	44
COL11A1	181	3957	0.001072868	0.053746341	45
FAM47C	175	4590	0.001097375	0.053746341	46
TENM1	162	3840	0.001101643	0.053746341	47
GRIN2A	202	3856	0.001105467	0.053746341	48
PCDH11X	192	3510	0.001111481	0.053746341	49
PTPRD	174	4267	0.001122613	0.053746341	50
ASPM	161	4297	0.001122893	0.053746341	51
SYNE2	184	3975	0.001139849	0.053746341	52
PCLO	192	4705	0.001154598	0.053746341	53
ANK1	184	4806	0.001170513	0.053746341	54
GLYR1	181	3957	0.001183762	0.053746341	55
RIMS2	164	3646	0.001190052	0.053746341	56
PLPPR4	159	3315	0.001190577	0.053746341	57
DNAH9	143	3775	0.001215214	0.053746341	58
FBN2	165	4508	0.001218328	0.053746341	59
PKHD1L1	152	4363	0.001219352	0.053746341	60
ADAMTS12	196	3474	0.001221132	0.053746341	61
TNR	165	4154	0.001231364	0.053746341	62
RELN	172	3831	0.001255324	0.053746341	63
RYR1	164	4842	0.001258439	0.053746341	64
FAT4	175	4899	0.001264392	0.053746341	65
NAV3	162	3166	0.001275212	0.053746341	66
OBSCN	167	4528	0.001280957	0.053746341	67
NPAP1	181	3686	0.001282630	0.053746341	68
RYR3	159	3600	0.001298988	0.053746341	69
PDZRN3	152	3897	0.001321780	0.053746341	70
KCNA4	145	3955	0.001365054	0.053746341	71
HECW1	145	4478	0.001368954	0.053746341	72
DLGAP2	133	3565	0.001373304	0.053746341	73
NF1	157	3776	0.001386003	0.053746341	74
ASTN1	153	3564	0.001408074	0.053746341	75
PCDH15	164	3020	0.001431384	0.053746341	76
ADGRG4	158	3013	0.001431409	0.053746341	77
MYH8	127	3201	0.001432320	0.053746341	78
ZFPM2	117	4945	0.001442816	0.053746341	79
ROBO2	132	4795	0.001450111	0.053746341	80
BRINP3	159	3387	0.001455850	0.053746341	81
KEAP1	142	4966	0.001460763	0.053746341	82
ERICH3	137	4955	0.001464886	0.053746341	83
VCAN	141	3034	0.001465548	0.053746341	84
CDH6	136	4895	0.001485707	0.053746341	85
COL14A1	124	3815	0.001505555	0.053746341	86
SYNE1	139	4104	0.001522854	0.053746341	87
CD163	154	4369	0.001532513	0.053746341	88
TSHZ3	125	3269	0.001532898	0.053746341	89
NLRP4	120	3295	0.001546070	0.053746341	90
AFF2	130	4500	0.001546374	0.053746341	91
DST	144	3508	0.001547428	0.053746341	92
MYH3	140	3205	0.001548531	0.053746341	93
MXRA5	149	4390	0.001551931	0.053746341	94
LRRC7	151	3091	0.001553197	0.053746341	95
HYDIN	95	3095	0.001556911	0.053746341	96
FAT1	119	3719	0.001567709	0.053746341	97
DNAH5	137	4585	0.001571591	0.053746341	98
OVCH1	133	4129	0.001572783	0.053746341	99
TG	134	4021	0.001576138	0.053746341	100
SI	135	4025	0.001586050	0.053746341	101
