hugo_symbol	Model_Score
TP63	0.99985534
PTPN4	0.9989642
CREBBP	0.9988256
MRPS31	0.9987483
KDR	0.99873453
CCR4	0.9985008
IDH1	0.9984419
IDH1	0.99843466
MUC16	0.99839133
FAT3	0.9983653
IDH1	0.99828786
CCR4	0.99827754
MAP3K1	0.9982258
MAP3K1	0.99821913
IDH1	0.99821526
MUC16	0.9982079
CHEK2	0.9981722
ATRX	0.9981184
HCN4	0.998069
CHEK2	0.9980477
SUFU	0.9980396
CSMD3	0.9980149
IDH1	0.9980001
MRPS31	0.9979972
IDH1	0.9979572
IDH1	0.9979068
MRPS31	0.9978287
IDH1	0.99779433
IDH1	0.9977887
IDH1	0.9977846
IDH1	0.9977832
IDH1	0.9977654
IDH1	0.9977586
IDH1	0.9977583
IDH1	0.9977556
IDH1	0.99774516
IDH1	0.9977206
IDH1	0.99769866
IDH1	0.9976976
IDH1	0.99768674
CHEK2	0.9976677
IDH1	0.9976502
IDH1	0.9976436
IDH1	0.997632
IDH1	0.99761295
IDH1	0.99760777
IDH1	0.9975755
IDH1	0.9975609
IDH1	0.9975461
IDH1	0.99753875
IDH1	0.9975387
IDH1	0.9975323
IDH1	0.99753195
IDH1	0.9975308
IDH1	0.99752104
IDH1	0.997521
IDH1	0.99752074
MRPS31	0.9974968
MUC16	0.9974751
IDH1	0.99746865
IDH1	0.9974592
IDH1	0.9974578
IDH1	0.9974458
CSMD3	0.9974452
IDH1	0.9974089
IDH1	0.997392
IDH1	0.9973848
IDH1	0.9973591
GRM5	0.9973584
IDH1	0.9973526
IDH1	0.9973483
IDH1	0.997343
IDH1	0.99732774
FEV	0.9973242
IDH1	0.99728024
IDH1	0.99727756
IDH1	0.9972733
IDH1	0.99727076
IDH1	0.9972653
IDH1	0.99726105
IDH1	0.9972595
IDH1	0.9972584
IDH1	0.99725425
IDH1	0.9972542
IDH1	0.99725
IDH1	0.9972373
IDH1	0.9972162
CHEK2	0.99719185
IGF2BP3	0.99718744
IDH1	0.9971755
IDH1	0.99716544
IDH1	0.997156
IDH1	0.9971555
IDH1	0.9971518
IDH1	0.9971507
IDH1	0.99714977
IDH1	0.997142
IDH1	0.99714094
IDH1	0.99714
IDH1	0.99713266
IDH1	0.9971301
NACA	0.99711984
IDH1	0.9971037
IDH1	0.99710286
CCR4	0.99707943
IDH1	0.99707043
IDH1	0.9970576
IDH1	0.99705315
IDH1	0.9970504
IDH1	0.9970436
IDH1	0.9970333
IDH1	0.9970316
IDH1	0.99703133
IDH1	0.9970198
IDH1	0.99701864
IDH1	0.9970125
IDH1	0.9970034
IDH1	0.99700034
IDH1	0.99699914
IDH1	0.99699616
IDH1	0.9969952
FEV	0.99699515
IDH1	0.9969944
IDH1	0.99699384
IDH1	0.9969892
IDH1	0.99698126
IDH1	0.9969703
IDH1	0.9969611
IDH1	0.9969252
IDH1	0.99692065
IDH1	0.9969066
IDH1	0.99690646
IDH1	0.9969007
IDH1	0.99689937
IDH1	0.9968959
IDH1	0.99688756
IDH1	0.99688727
BCOR	0.9968861
IDH1	0.99688196
IDH1	0.99687994
FEV	0.9968798
IDH1	0.99687487
IDH1	0.9968721
IDH1	0.99687207
IDH1	0.99687105
IDH1	0.9968698
IDH1	0.9968594
IDH1	0.99685746
IDH1	0.9968537
CCR4	0.9968425
IDH1	0.99684083
IDH1	0.99683017
IDH1	0.9968261
IDH1	0.99680936
IDH1	0.9968066
IDH1	0.99680257
IDH1	0.99680245
IDH1	0.9968008
IDH1	0.99679947
IDH1	0.9967956
IDH1	0.99679416
IDH1	0.9967915
IDH1	0.99679005
IDH1	0.99677247
FEV	0.99674225
IDH1	0.9967181
IDH1	0.99667853
IDH1	0.9966338
WRN	0.9966313
IDH1	0.99663067
EFTUD2	0.9965966
IDH1	0.9964792
MYH11	0.99642867
FEV	0.99638414
IDH1	0.9963574
IDH1	0.99635595
CCNE1	0.99635357
MUC16	0.99635
MUC16	0.996317
CCNE1	0.9961929
MSH6	0.99571335
MED13	0.99565476
MUC16	0.9955818
IDH1	0.99555635
LSAMP	0.99545383
PTPRB	0.99543905
FEV	0.99533606
EPHA7	0.99527895
BCOR	0.9952488
LCP1	0.995188
EPHA7	0.99516326
TBX18	0.9951176
CCDC6	0.9950621
USP6	0.995049
DICER1	0.9949729
MUC16	0.9949546
MUC16	0.9949475
EP300	0.99492526
AASDH	0.994925
LRRC4C	0.99490345
CYP2C8	0.9947716
H1-2	0.9947658
CADM2	0.9947091
NEGR1	0.99466443
DICER1	0.99460137
KIT	0.9945978
CFH	0.9945306
RBBP8	0.99442816
KIT	0.9943782
BRCA2	0.99437237
A1CF	0.9943211
KIT	0.99422735
PDGFRA	0.9941371
IDH1	0.99408007
KIT	0.9940722
CYP2C8	0.9940716
RHOT1	0.9940312
HMGCLL1	0.99394894
NT5C2	0.9939482
PDGFRA	0.993878
PTPRB	0.9938567
ARHGAP35	0.99384177
NRAS	0.99384075
PDGFRA	0.9938342
KDR	0.9937889
RHOH	0.99370825
COL11A2	0.9936764
CCDC6	0.9936522
FAT3	0.9934959
TRIP11	0.9934844
FEV	0.99342513
IRF5	0.99322295
A1CF	0.9930121
PAX7	0.9930096
NTRK3	0.99297416
SSH1	0.9929151
FAM47C	0.9928165
CHD6	0.99271786
NPAS3	0.9926903
MUC16	0.9926378
TCEA1	0.99257284
TFE3	0.9925264
PDGFRA	0.9924167
TBX3	0.9922693
SVEP1	0.9922191
PTPRB	0.99220353
DLG1	0.9921928
NRAS	0.9921346
TNR	0.9920984
HCN1	0.99203664
BIRC3	0.99198836
FEV	0.9919717
MYO5B	0.99195004
BARD1	0.9919096
MUC16	0.99188316
NBPF20	0.99178606
IDH1	0.9917055
USP6	0.9916835
PTPRB	0.9916401
MUC16	0.9915948
PDGFRA	0.9915865
ERBB4	0.99157715
CCDC6	0.9915485
PDGFRA	0.99154454
PDGFRA	0.99153274
NSMAF	0.9914934
NTHL1	0.9914888
LRRC4C	0.991464
TBX3	0.9914123
FAT3	0.99140155
ASPM	0.99139494
ROBO2	0.99138546
ASPM	0.99130535
IRS4	0.9912881
FEV	0.9912822
TBX3	0.99118984
ASPM	0.99114126
ASPM	0.99111664
CTCF	0.99108094
CCND2	0.9910494
MMP16	0.9910478
PTPRB	0.99104655
TP63	0.9910277
F10	0.9909464
CNTNAP2	0.99094033
GRIN2A	0.99090916
ATRX	0.9908608
PDGFRA	0.9908145
ASPM	0.9907988
DCC	0.99078965
ZNF479	0.99076194
MSL3	0.9907607
MYH3	0.99073404
CACNA1F	0.9906612
WNK2	0.99062985
TFE3	0.9905921
ASPM	0.9905754
TBX3	0.9905617
LRP1B	0.99053043
CNTNAP2	0.99049145
KCNH7	0.9904696
NRXN1	0.99040425
NTRK3	0.9903493
TBX3	0.99033755
ZNF492	0.9903002
ASPM	0.99026585
ASPM	0.99024904
DCC	0.9902174
SCN3A	0.9901827
ASPM	0.99016064
CNBD1	0.9901416
ASPM	0.9901107
ASPM	0.99009377
MUC16	0.99005777
PAPOLA	0.99005485
RAD21	0.99001086
ROBO2	0.9899136
ZNF479	0.9898783
HIP1	0.98987496
SALL4	0.989782
NRAS	0.9897177
POLE	0.98970556
MUC16	0.989702
LMO2	0.9896913
USP9X	0.9895082
ASPM	0.98942155
TFE3	0.9894057
LHFPL6	0.9893631
TBX3	0.98934186
FEV	0.98931223
TRPM1	0.98929244
NTRK3	0.98926723
MUC16	0.9892276
ARSJ	0.98921114
FZD2	0.98918337
ROCK1	0.9891471
SORCS1	0.9891286
CNTNAP2	0.98911667
NRAS	0.9891097
TP63	0.98910064
TNNI1	0.9890949
RGS7	0.9890303
POLG	0.98900896
FAT1	0.98900896
ASPM	0.988975
TBX3	0.9889402
NBEA	0.98891306
CTCF	0.9889048
TGFBR2	0.9887928
CDK4	0.988784
MUC16	0.9887492
NTRK3	0.9887093
ASPM	0.98869693
CCDC6	0.9886808
MYB	0.9886594
TFE3	0.98864
CACNA1D	0.9886348
PDGFRA	0.98862135
ADAMTS9	0.98861724
SALL4	0.98857516
FLNA	0.98856413
LCP1	0.9885268
FLCN	0.98839223
MUC16	0.9883914
MAP3K1	0.9883499
PDGFRA	0.9883184
PDGFRA	0.9882902
ASPM	0.9882819
KNSTRN	0.988269
CTNNA2	0.9882651
MYB	0.9882611
CNTNAP2	0.98815215
FAT3	0.98800343
MYB	0.987952
TFE3	0.987898
RYR3	0.9878807
NTRK3	0.9878097
SH3RF1	0.9877631
GNAI1	0.9877546
ATRX	0.98771363
MAT1A	0.9876842
PDGFRA	0.98766506
KMT2D	0.9876425
TBX3	0.9876135
ROBO2	0.9876019
BIRC6	0.9875831
PDGFRA	0.9875543
FLNA	0.9875482
PDGFRA	0.9874942
KCNMA1	0.9874475
ANK1	0.9874168
KCNJ3	0.9874157
MUC16	0.98735994
CNTNAP2	0.98735887
POLR3A	0.9873268
TAZ	0.9872396
ASPM	0.9872345
FAM47C	0.9871808
FAT1	0.98714054
CTCF	0.9871296
ASPM	0.98702407
CLCN5	0.9870087
TBX3	0.9869413
TFE3	0.98693746
MYO18B	0.9869021
TFE3	0.98687667
FGFR4	0.98685306
LRP1B	0.9868472
MUC16	0.98684555
ERG	0.9868158
DNER	0.9868015
HMCN1	0.9867483
MTOR	0.9866933
TFE3	0.98668617
CD209	0.9866289
SALL4	0.98661023
TFE3	0.9865654
FAM47C	0.986517
WWTR1	0.98650515
LRP1B	0.9864518
TGFBR2	0.9864483
LRP1B	0.98643726
KAT6B	0.9863868
FEV	0.98634386
POLE	0.98628694
ZNF777	0.98625505
IRS4	0.9862226
PDGFRA	0.9861481
TGFBR2	0.9861307
IRS4	0.9861181
MYB	0.98611295
MUC16	0.986101
ASPM	0.9861004
NTRK3	0.9859794
LRP4	0.9859293
CTNNB1	0.9858728
LATS2	0.98581856
MUC16	0.985788
VAV1	0.9857717
BAZ2B	0.9857555
ASPM	0.9857494
LRP1B	0.9857304
RHOH	0.9857279
MUC16	0.98570883
MTOR	0.98570186
ITPR2	0.9856926
FLNA	0.9856915
PDGFRA	0.9856434
MECOM	0.985625
NALCN	0.9856012
BSX	0.98559785
CTNNB1	0.98551685
DGKI	0.98551214
FEV	0.9854828
TGFBR2	0.9854709
CNTNAP2	0.9854502
PDGFRA	0.9854112
PLEC	0.9853773
CTCF	0.9853665
TLE4	0.98536205
MUC16	0.9853425
CTNNB1	0.98531896
CSMD3	0.98531026
MAP3K1	0.98530644
CTNNB1	0.98529387
PLEC	0.9852883
MUC16	0.98528165
CTNNB1	0.9852717
COL3A1	0.98519856
TFE3	0.985197
BCAT2	0.985094
LRP1B	0.98507637
ALOXE3	0.98507565
CTNNB1	0.9850604
KMT2C	0.98504025
SCN3A	0.9849768
EPHA3	0.98497117
COL2A1	0.9849165
CASP3	0.98485094
TFE3	0.9848002
FLG2	0.98478436
ATP7A	0.98478127
MUC16	0.9847688
ZNF429	0.9847622
ASPM	0.9847301
TGFBR2	0.9847282
DCAF4L1	0.9847115
MUC16	0.984612
CTNNB1	0.98457956
TENM1	0.9845656
CCNB3	0.9845561
ZAP70	0.98454595
ARMC4	0.98453707
FAM47C	0.98449975
ASTN2	0.9844978
VAV1	0.98449403
EFTUD2	0.9844846
LRP1B	0.98445034
CTNNB1	0.9844079
CTNNB1	0.98438996
CHD4	0.9843814
COL3A1	0.9843805
DGCR8	0.9842775
PLCL1	0.98423356
GRIN2A	0.9842077
DGCR8	0.98417896
RNF43	0.9841603
CTNNB1	0.9841598
LRRC37A3	0.9841558
CHD4	0.9841518
TGFBR2	0.98413235
